Timestamp,Ax,Ay,Az,Gx,Gy,Gz
14:49:12.837106,1.16,2.10,2.10,-141.86,-19.76,-132.10
14:49:12.939083,0.84,1.69,1.69,185.55,-124.15,93.54
14:49:13.041851,0.79,1.68,1.68,45.03,14.66,-59.94
14:49:13.145182,0.59,1.63,1.63,54.97,77.16,-126.62
14:49:13.247088,0.33,1.49,1.49,0.37,99.15,-130.12
14:49:13.353898,0.19,1.58,1.58,20.43,182.29,-38.60
14:49:13.455992,0.29,1.62,1.62,-5.00,113.87,28.11
14:49:13.562376,0.28,1.63,1.63,-65.85,80.30,89.27
14:49:13.665178,0.47,1.63,1.63,-73.63,48.45,94.76
14:49:13.771609,0.32,1.78,1.78,-146.49,14.88,110.85
14:49:13.873786,0.04,1.59,1.59,-185.27,63.26,230.37
14:49:13.980771,0.91,1.72,1.72,37.62,108.84,338.90
14:49:14.083243,0.66,1.09,1.09,38.32,385.30,160.52
14:49:14.189114,0.66,1.02,1.02,138.72,435.09,-199.48
14:49:14.291577,0.43,1.33,1.33,174.51,299.15,-497.77
14:49:14.393786,0.06,1.52,1.52,18.14,357.50,-18.90
14:49:14.504413,-2.23,3.26,3.26,-152.44,-364.12,82.56
14:49:14.606560,0.41,1.84,1.84,-402.29,261.71,195.55
14:49:14.709309,0.99,1.76,1.76,19.12,-11.74,155.49
14:49:14.812349,0.85,1.66,1.66,-2.53,-42.87,-80.91
14:49:14.914444,0.64,1.56,1.56,5.37,68.63,-166.28
14:49:15.020083,0.33,1.51,1.51,-6.22,97.29,-105.98
14:49:15.123145,0.11,1.54,1.54,-76.01,23.20,3.72
14:49:15.229159,0.30,1.56,1.56,-100.82,-35.61,181.74
14:49:15.332235,0.45,2.14,2.14,-163.32,-8.57,245.06
14:49:15.437943,0.58,1.70,1.70,44.73,-94.48,239.73
14:49:15.540625,0.97,1.46,1.46,-57.80,579.70,236.65
14:49:15.643421,0.61,1.10,1.10,115.00,70.12,50.12
14:49:15.750002,0.69,1.19,1.19,83.05,139.45,-218.23
14:49:15.856454,0.47,1.33,1.33,139.02,127.87,-447.96
14:49:15.958538,0.15,1.51,1.51,110.88,51.07,-300.15
14:49:16.060941,0.53,1.27,1.27,22.68,335.40,234.57
14:49:16.171675,2.26,-0.19,-0.19,435.76,-782.44,823.14
14:49:16.269854,1.04,1.52,1.52,185.82,-67.13,297.71
14:49:16.372337,0.76,1.57,1.57,-46.68,161.31,6.74
14:49:16.478842,0.70,1.67,1.67,17.47,66.25,-96.62
14:49:16.581024,0.50,1.50,1.50,-29.15,51.89,-97.87
